"long","lat","name","class","has_nature","has_garden","has_biking","sqft","bgroup_id2","nbhd_id","nbhd_name"
-104.95727457,39.68210794,"Buchtel Centennial Park","Pocket",FALSE,FALSE,FALSE,17036.7742191973,"80310040052",66,"University Park"
-104.95761398,39.73201389,"Capitol Hill Reservoir","Athletic Complex",FALSE,FALSE,FALSE,307867.591006693,"80310033004",20,"Congress Park"
-104.95769339,39.72286778,"Manley (James N) Park","Neighborhood",FALSE,FALSE,TRUE,62406.6075034575,"80310038005",13,"Cherry Creek"
-104.95838001,39.74096114,"Carla Madison Rec Center","Recreation Center",FALSE,FALSE,FALSE,126946.446987275,"80310037012",14,"City Park"
-104.96149187,39.73202721,"Denver Botanic Gardens","Special Use",FALSE,TRUE,FALSE,990089.665972856,"80310032023",12,"Cheesman Park"
-104.9615834,39.76755108,"Russell Square Park","Neighborhood",FALSE,FALSE,FALSE,99142.8473124138,"80310036012",18,"Cole"
-104.96171252,39.67069016,"DeBoer (SR) Park","Neighborhood",FALSE,FALSE,TRUE,206700.182977386,"80310030041",64,"University"
-104.96278518,39.68683198,"Veterans Park","Community",FALSE,FALSE,TRUE,706022.060835817,"80310034023",70,"Washington Park"
-104.96401321,39.78447628,"Elyria Park","Neighborhood",FALSE,FALSE,FALSE,111468.458174484,"80310035001",25,"Elyria Swansea"
-104.96458154,39.75935509,"Walker (Madame CJ) Park","Pocket",FALSE,FALSE,FALSE,43155.6948975163,"80310023001",77,"Whittier"
-104.96529818,39.72819308,"Cheesman Park Esplanade","Neighborhood",FALSE,FALSE,FALSE,115777.970960127,"80310032033",22,"Country Club"
-104.96645337,39.73278794,"Cheesman Park","Regional",FALSE,FALSE,TRUE,3514617.61024191,"80310032015",12,"Cheesman Park"
-104.96717374,39.75756123,"Fuller Park","Neighborhood",FALSE,FALSE,FALSE,254635.982555723,"80310023002",77,"Whittier"
-104.96790148,39.76172864,"Morrison (George Sr) Park","Neighborhood",FALSE,FALSE,TRUE,163986.761166769,"80310023001",77,"Whittier"
-104.96807887,39.75936188,"Douglass (Fredrick) Park","Pocket",FALSE,FALSE,FALSE,22127.4548534196,"80310023001",77,"Whittier"
-104.97096087,39.70007732,"Washington Park","Regional",FALSE,FALSE,TRUE,6853293.68255149,"80310034021",70,"Washington Park"
-104.97108908,39.75964068,"Williams (Dr. Daniel Hale) Park","Pocket",FALSE,FALSE,FALSE,26683.5386496944,"80310023001",77,"Whittier"
-104.97112646,39.76957454,"St. Charles Place Park","Neighborhood",FALSE,FALSE,FALSE,106862.560906139,"80310036011",18,"Cole"
