"","Row.names","camp_id","session_id","camp_zip","camp_address_1","session_size","session_cost","session_date_start","session_date_end","session_categories","calendar_date","start.time.hours","end.time.hours","duration","session_max_age","session_min_age","lat","lon","lat_lon"
"9996","3289",658,"40224","80303","1466 N. 64rd Street",12,"359","2019-07-15 00:00:00","2019-07-19 00:00:00","scholarshipsAvailable,nature,specialNeedsStudent,academic",2019-07-16,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9997","329",993,"43577","80128","8355 S. Wadsworth Blvd",0,"320","2019-07-29 00:00:00","2019-08-02 00:00:00","academic,arts,sports,dance,offersBeforeAfterCare,drama,nature,cooking,stem",2019-08-02,"6:00 AM","6:00 PM",12,12,5,39.7299327,-104.877958,"39.7299327 -104.877958"
"9998","3290",658,"40224","80303","1466 N. 64rd Street",12,"359","2019-07-15 00:00:00","2019-07-19 00:00:00","scholarshipsAvailable,nature,specialNeedsStudent,academic",2019-07-17,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"9999","3291",658,"40224","80303","1466 N. 64rd Street",12,"359","2019-07-15 00:00:00","2019-07-19 00:00:00","scholarshipsAvailable,nature,specialNeedsStudent,academic",2019-07-18,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"10000","3292",658,"40224","80303","1466 N. 64rd Street",12,"359","2019-07-15 00:00:00","2019-07-19 00:00:00","scholarshipsAvailable,nature,specialNeedsStudent,academic",2019-07-19,"8:30 AM","2:30 PM",6,8,6,39.740052,-105.0295596,"39.740052 -105.0295596"
"10001","3293",658,"40225","80303","1466 N. 64rd Street",12,"359","2019-06-17 00:00:00","2019-06-21 00:00:00","academic,specialNeedsStudent,nature,scholarshipsAvailable",2019-06-17,"8:30 AM","2:30 PM",6,11,9,39.740052,-105.0295596,"39.740052 -105.0295596"
"10002","3294",658,"40225","80303","1466 N. 64rd Street",12,"359","2019-06-17 00:00:00","2019-06-21 00:00:00","academic,specialNeedsStudent,nature,scholarshipsAvailable",2019-06-18,"8:30 AM","2:30 PM",6,11,9,39.740052,-105.0295596,"39.740052 -105.0295596"
"10003","3295",658,"40225","80303","1466 N. 64rd Street",12,"359","2019-06-17 00:00:00","2019-06-21 00:00:00","academic,specialNeedsStudent,nature,scholarshipsAvailable",2019-06-19,"8:30 AM","2:30 PM",6,11,9,39.740052,-105.0295596,"39.740052 -105.0295596"
"10004","3296",658,"40225","80303","1466 N. 64rd Street",12,"359","2019-06-17 00:00:00","2019-06-21 00:00:00","academic,specialNeedsStudent,nature,scholarshipsAvailable",2019-06-20,"8:30 AM","2:30 PM",6,11,9,39.740052,-105.0295596,"39.740052 -105.0295596"
"10005","3297",658,"40225","80303","1466 N. 64rd Street",12,"359","2019-06-17 00:00:00","2019-06-21 00:00:00","academic,specialNeedsStudent,nature,scholarshipsAvailable",2019-06-21,"8:30 AM","2:30 PM",6,11,9,39.740052,-105.0295596,"39.740052 -105.0295596"
