"lat","lon","lat_lon","blockID","driving_morning","transit_morning","kilometers"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310033002",12.6833333333333,38.8,"6.8 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310033002",2.86666666666667,20,"1.6 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310033002",44.8333333333333,NA,"50.9 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310033002",42.9833333333333,NA,"52.5 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310033002",41.9666666666667,NA,"43.7 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310033002",35.7833333333333,NA,"40.0 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310033003",14.0666666666667,57.0166666666667,"7.8 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310033003",1.8,9.48333333333333,"0.7 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310033003",44.5833333333333,NA,"50.2 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310033003",42.7333333333333,NA,"51.8 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310033003",41.4666666666667,NA,"44.5 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310033003",35.2833333333333,NA,"40.8 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310033004",13.3,44.6833333333333,"6.8 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310033004",2,9.53333333333333,"0.8 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310033004",44.7833333333333,NA,"50.2 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310033004",42.9333333333333,NA,"51.9 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310033004",41.6666666666667,NA,"44.5 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310033004",35.4833333333333,NA,"40.8 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310034011",19.6166666666667,50.2666666666667,"10.4 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310034011",7.33333333333333,37.2,"3.2 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310034011",43.3333333333333,NA,"53.9 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310034011",41.4833333333333,NA,"55.6 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310034011",40.2166666666667,NA,"48.3 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310034011",34.0333333333333,NA,"44.5 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310034012",18.7166666666667,48.4833333333333,"10.2 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310034012",6.43333333333333,37.7,"3.0 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310034012",42.7833333333333,NA,"53.5 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310034012",40.95,NA,"55.2 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310034012",39.6666666666667,NA,"47.9 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310034012",33.4833333333333,NA,"44.1 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310034021",21.25,56.4166666666667,"11.5 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310034021",8.96666666666667,22.9166666666667,"4.3 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310034021",43.05,NA,"56.3 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310034021",41.2,NA,"57.9 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310034021",39.9333333333333,NA,"50.6 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310034021",33.7333333333333,NA,"46.9 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310034022",19.75,48.9333333333333,"10.9 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310034022",7.46666666666667,15.25,"3.7 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310034022",41.5333333333333,NA,"55.7 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310034022",39.7,NA,"57.4 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310034022",38.4166666666667,NA,"50.0 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310034022",32.2333333333333,NA,"46.3 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310034023",22.1,52.3666666666667,"12.3 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310034023",9.81666666666667,26.7166666666667,"5.1 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310034023",40.55,NA,"54.7 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310034023",38.7,NA,"56.3 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310034023",37.4333333333333,NA,"49.0 km"
