"","Id","Id2","Geography","Estimate..Total.","Margin.of.Error..Total.","Estimate..Total....White.alone","Margin.of.Error..Total....White.alone","Estimate..Total....Black.or.African.American.alone","Margin.of.Error..Total....Black.or.African.American.alone","Estimate..Total....American.Indian.and.Alaska.Native.alone","Margin.of.Error..Total....American.Indian.and.Alaska.Native.alone","Estimate..Total....Asian.alone","Margin.of.Error..Total....Asian.alone","Estimate..Total....Native.Hawaiian.and.Other.Pacific.Islander.alone","Margin.of.Error..Total....Native.Hawaiian.and.Other.Pacific.Islander.alone","Estimate..Total....Some.other.race.alone","Margin.of.Error..Total....Some.other.race.alone","Estimate..Total....Two.or.more.races.","Margin.of.Error..Total....Two.or.more.races.","Estimate..Total....Two.or.more.races....Two.races.including.Some.other.race","Margin.of.Error..Total....Two.or.more.races....Two.races.including.Some.other.race","Estimate..Total....Two.or.more.races....Two.races.excluding.Some.other.race..and.three.or.more.races","Margin.of.Error..Total....Two.or.more.races....Two.races.excluding.Some.other.race..and.three.or.more.races"
"99","1500000US080310014024",80310014024,"Block Group 4, Census Tract 14.02, Denver County, Colorado",1265,344,772,272,10,14,0,11,193,202,3,6,225,249,62,71,24,44,38,53
"100","1500000US080310014031",80310014031,"Block Group 1, Census Tract 14.03, Denver County, Colorado",1868,288,1434,253,124,128,52,74,36,46,0,11,125,134,97,104,71,92,26,43
"101","1500000US080310014032",80310014032,"Block Group 2, Census Tract 14.03, Denver County, Colorado",1293,249,885,190,251,176,9,17,19,31,0,11,88,76,41,47,0,11,41,47
"102","1500000US080310015001",80310015001,"Block Group 1, Census Tract 15, Denver County, Colorado",1082,345,779,299,57,78,0,11,0,11,0,11,157,172,89,95,53,79,36,56
"103","1500000US080310015002",80310015002,"Block Group 2, Census Tract 15, Denver County, Colorado",1535,441,1302,419,12,26,0,11,7,11,8,25,139,144,67,95,59,94,8,13
"104","1500000US080310015003",80310015003,"Block Group 3, Census Tract 15, Denver County, Colorado",1553,501,1201,458,146,145,10,21,0,11,0,11,162,145,34,27,0,11,34,27
"105","1500000US080310016001",80310016001,"Block Group 1, Census Tract 16, Denver County, Colorado",3529,787,2857,1173,593,643,0,11,53,79,0,11,26,42,0,11,0,11,0,11
"106","1500000US080310016002",80310016002,"Block Group 2, Census Tract 16, Denver County, Colorado",5045,660,4241,580,407,226,14,32,171,113,31,52,19,34,162,113,25,41,137,99
"107","1500000US080310016003",80310016003,"Block Group 3, Census Tract 16, Denver County, Colorado",2256,994,1769,821,224,171,45,75,0,11,0,11,133,133,85,114,0,11,85,114
"108","1500000US080310017011",80310017011,"Block Group 1, Census Tract 17.01, Denver County, Colorado",1806,287,1743,301,0,11,0,11,47,45,0,11,0,11,16,28,16,28,0,11
"109","1500000US080310017012",80310017012,"Block Group 2, Census Tract 17.01, Denver County, Colorado",942,292,874,280,19,30,0,11,9,16,0,11,18,28,22,36,22,36,0,11
"110","1500000US080310017013",80310017013,"Block Group 3, Census Tract 17.01, Denver County, Colorado",369,113,334,124,26,42,0,11,0,11,0,11,0,11,9,15,0,11,9,15
"111","1500000US080310017014",80310017014,"Block Group 4, Census Tract 17.01, Denver County, Colorado",1320,291,980,281,29,47,9,14,264,135,0,11,0,11,38,42,16,25,22,33
"112","1500000US080310017015",80310017015,"Block Group 5, Census Tract 17.01, Denver County, Colorado",827,221,827,221,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
"113","1500000US080310017021",80310017021,"Block Group 1, Census Tract 17.02, Denver County, Colorado",1695,317,1303,256,179,144,15,25,0,11,0,11,77,95,121,86,0,11,121,86
"114","1500000US080310017022",80310017022,"Block Group 2, Census Tract 17.02, Denver County, Colorado",2288,355,2061,364,57,55,0,11,114,83,0,11,21,35,35,40,0,11,35,40
"115","1500000US080310018001",80310018001,"Block Group 1, Census Tract 18, Denver County, Colorado",1858,213,1441,200,91,88,79,78,90,61,0,11,119,104,38,31,0,11,38,31
"116","1500000US080310018002",80310018002,"Block Group 2, Census Tract 18, Denver County, Colorado",1529,388,1003,255,41,40,87,118,7,10,0,11,361,382,30,37,0,11,30,37
"117","1500000US080310019011",80310019011,"Block Group 1, Census Tract 19.01, Denver County, Colorado",879,362,470,301,319,251,0,11,36,58,0,11,46,98,8,12,0,11,8,12
