"","Id","Id2","Geography","TTL_population","Margin.of.Error..Total"
"241","1500000US080310040023",80310040023,"Block Group 3, Census Tract 40.02, Denver County, Colorado",768,142
"242","1500000US080310040024",80310040024,"Block Group 4, Census Tract 40.02, Denver County, Colorado",987,200
"243","1500000US080310040031",80310040031,"Block Group 1, Census Tract 40.03, Denver County, Colorado",1166,195
"244","1500000US080310040032",80310040032,"Block Group 2, Census Tract 40.03, Denver County, Colorado",1381,380
"245","1500000US080310040033",80310040033,"Block Group 3, Census Tract 40.03, Denver County, Colorado",881,234
"246","1500000US080310040034",80310040034,"Block Group 4, Census Tract 40.03, Denver County, Colorado",915,264
"247","1500000US080310040041",80310040041,"Block Group 1, Census Tract 40.04, Denver County, Colorado",1868,110
"248","1500000US080310040051",80310040051,"Block Group 1, Census Tract 40.05, Denver County, Colorado",1492,245
"249","1500000US080310040052",80310040052,"Block Group 2, Census Tract 40.05, Denver County, Colorado",1577,296
"250","1500000US080310040061",80310040061,"Block Group 1, Census Tract 40.06, Denver County, Colorado",1131,223
"251","1500000US080310040062",80310040062,"Block Group 2, Census Tract 40.06, Denver County, Colorado",1420,320
"252","1500000US080310040063",80310040063,"Block Group 3, Census Tract 40.06, Denver County, Colorado",1202,292
"253","1500000US080310040064",80310040064,"Block Group 4, Census Tract 40.06, Denver County, Colorado",913,327
"254","1500000US080310041011",80310041011,"Block Group 1, Census Tract 41.01, Denver County, Colorado",1979,442
"255","1500000US080310041012",80310041012,"Block Group 2, Census Tract 41.01, Denver County, Colorado",1500,399
"256","1500000US080310041013",80310041013,"Block Group 3, Census Tract 41.01, Denver County, Colorado",959,239
"257","1500000US080310041021",80310041021,"Block Group 1, Census Tract 41.02, Denver County, Colorado",1487,398
"258","1500000US080310041022",80310041022,"Block Group 2, Census Tract 41.02, Denver County, Colorado",1029,346
"259","1500000US080310041023",80310041023,"Block Group 3, Census Tract 41.02, Denver County, Colorado",969,279
"260","1500000US080310041024",80310041024,"Block Group 4, Census Tract 41.02, Denver County, Colorado",1284,384
"261","1500000US080310041031",80310041031,"Block Group 1, Census Tract 41.03, Denver County, Colorado",1158,349
"262","1500000US080310041032",80310041032,"Block Group 2, Census Tract 41.03, Denver County, Colorado",802,215
"263","1500000US080310041033",80310041033,"Block Group 3, Census Tract 41.03, Denver County, Colorado",957,214
"264","1500000US080310041034",80310041034,"Block Group 4, Census Tract 41.03, Denver County, Colorado",874,193
"265","1500000US080310041035",80310041035,"Block Group 5, Census Tract 41.03, Denver County, Colorado",984,347
"266","1500000US080310041036",80310041036,"Block Group 6, Census Tract 41.03, Denver County, Colorado",825,290
"267","1500000US080310041041",80310041041,"Block Group 1, Census Tract 41.04, Denver County, Colorado",996,338
"268","1500000US080310041042",80310041042,"Block Group 2, Census Tract 41.04, Denver County, Colorado",1001,305
"269","1500000US080310041043",80310041043,"Block Group 3, Census Tract 41.04, Denver County, Colorado",891,288
"270","1500000US080310041044",80310041044,"Block Group 4, Census Tract 41.04, Denver County, Colorado",475,214
"271","1500000US080310041045",80310041045,"Block Group 5, Census Tract 41.04, Denver County, Colorado",767,244
"272","1500000US080310041046",80310041046,"Block Group 6, Census Tract 41.04, Denver County, Colorado",609,205
"273","1500000US080310041061",80310041061,"Block Group 1, Census Tract 41.06, Denver County, Colorado",12563,631
"274","1500000US080310041071",80310041071,"Block Group 1, Census Tract 41.07, Denver County, Colorado",6937,414
"275","1500000US080310042011",80310042011,"Block Group 1, Census Tract 42.01, Denver County, Colorado",1204,280
"276","1500000US080310042012",80310042012,"Block Group 2, Census Tract 42.01, Denver County, Colorado",713,182
"277","1500000US080310042013",80310042013,"Block Group 3, Census Tract 42.01, Denver County, Colorado",722,147
"278","1500000US080310042014",80310042014,"Block Group 4, Census Tract 42.01, Denver County, Colorado",837,251
"279","1500000US080310042015",80310042015,"Block Group 5, Census Tract 42.01, Denver County, Colorado",735,153
"280","1500000US080310042016",80310042016,"Block Group 6, Census Tract 42.01, Denver County, Colorado",558,118
