"sport","location","tier","class","long","lat","sqft"
"Mixed-use","Skyland Park","C",,-104.92119193,39.7650489,28770.9370693407
"Softball","Skyland Park","C","BF-C",-104.92061564,39.76512687,31382.2916269888
"Mixed-use","Rocky Mountain Lake Park","C",,-105.03384362,39.78121564,35963.2174959476
"Mixed-use","Rocky Mountain Lake Park","C",,-105.03327663,39.78141068,28770.6080170024
"Mixed-use","Rocky Mountain Lake Park","C","MU-TURF",-105.02876668,39.781043,28770.4781342367
"Mixed-use","Rocky Mountain Lake Park","C","MU-TURF",-105.02692169,39.78103629,28770.6062945023
"Mixed-use","Rocky Mountain Lake Park","C","MU-TURF",-105.02692181,39.78151188,28770.6096065199
"Baseball","Rocky Mountain Lake Park","C","BF-C",-105.03333673,39.78087928,31487.0148058847
"Softball","Rocky Mountain Lake Park","C","BF-C",-105.0338215,39.78166571,31382.0138061047
"Mixed-use","Rosamond Park","C","MU-TURF",-104.89560345,39.6398357,29036.0550947485
"Mixed-use","Rosamond Park","C","MU-TURF",-104.89608619,39.63980146,29024.2364406418
"Mixed-use","Rosamond Park","C","MU-TURF",-104.89598593,39.64056894,53949.4155551872
"Football","Sloans Lake Park","C","MU-TURF",-105.04932792,39.75233282,28771.1940834867
"Mixed-use","Verbena Park","C","MU-TURF",-104.89109784,39.73420248,25174.990591661
"Mixed-use","Veterans Park","B","MU-TURF",-104.96202852,39.68650841,69233.3258450363
"Mixed-use","Southmoor Park","C","MU-TURF",-104.9077239,39.65113925,35966.1834955052
"Mixed-use","Southmoor Park","C","MU-TURF",-104.90726746,39.65148099,35966.1597244155
"Mixed-use","Southwest Rec Center","C",,-105.09947807,39.62846338,22135.3537088896
"Mixed-use","Southwest Rec Center","C",,-105.09894811,39.628276,13551.8813589008
"Softball","Southwest Rec Center","C","BF-C",-105.09926067,39.62847659,48956.4281607914
"Mixed-use","Swansea Park","C",,-104.95550055,39.78574521,35963.0517267684
"Softball","Swansea Park","C","BF-C",-104.95588714,39.78542397,31381.8869079986
"Mixed-use","Thomas (Fred) Park","C","MU-TURF",-104.90247296,39.75368627,28771.0552861325
"Mixed-use","Thomas (Fred) Park","C","MU-TURF",-104.90243824,39.75328206,28771.0602463857
"Mixed-use","Thomas (Fred) Park","B","MU-TURF",-104.90229469,39.75224953,48551.2847015797
"Mixed-use","Village Place Park","C",,-104.8328684,39.77802238,35963.3780453781
"Mixed-use","Sloans Lake Park","C","MU-TURF",-105.05022797,39.75272836,28771.107220088
"Mixed-use","Sloans Lake Park","C","MU-TURF",-105.04932989,39.75273193,28771.0311000815
"Softball","West Bar Val Wood Park","C","BF-C",-105.01173804,39.71390803,31383.3031856476
"Softball","West Bar Val Wood Park","C","BF-C",-105.01274434,39.71419287,31383.3293334542
"Mixed-use","West Bar Val Wood Park","C",,-105.01173626,39.71435843,28771.8153952803
"Mixed-use","Sloans Lake Park","C","MU-TURF",-105.05023046,39.75233977,28771.1447708369
"Mixed-use","West Bar Val Wood Park","C",,-105.01248509,39.71422048,28771.8133355402
"Softball","Bear Creek Park","C","BF-C",-105.05073442,39.65109355,17603.7648030536
"Softball","Elmendorf Park","C","BF-C",-104.84092679,39.79248344,22768.8927156881
"Softball","Elmendorf Park","C","BF-C",-104.84094492,39.7929515,23070.1641451201
"Volleyball","Harvard Gulch Park","C","MU-TURF",-104.9793614,39.67427167,46925.1135748388
"Mixed-use","Town Center","B",,-104.76884902,39.78864477,53944.6018615305
"Baseball","Town Center","B","BF-B",-104.76829892,39.78872911,48951.6955018907
"Mixed-use","Elmendorf Park","C",,-104.84105242,39.79273061,35963.01220167
"Mixed-use","Falcon Park","C","MU-TURF",-104.82774431,39.7931491,35963.0029573779
"Softball","Veterans Park","B","BF-B",-104.96329902,39.68630211,31383.7889975346
"Softball","42nd & Lisbon","C","BF-C",-104.74677636,39.77353201,36510.6540518434
"Mixed-use","Falcon Park","C","MU-TURF",-104.82799912,39.79275459,28770.3885120756
"Mixed-use","Central Park","C","MU-TURF",-104.8801899,39.7615329,36056.1205503467
"Mixed-use","Falcon Park","C",,-104.82877567,39.79300841,53944.4623998272
"Baseball","Montbello Central Park","A","BF-A",-104.82663028,39.78434316,127042.153265545
"Softball","Falcon Park","C","BF-C",-104.82875352,39.79339163,31694.8256570721
"Softball","Falcon Park","C","BF-C",-104.82710378,39.79305628,31571.7999670545
"Softball","Montbello Central Park","A","BF-A",-104.8275631,39.7850926,89638.6400216545
"Softball","Thomas (Fred) Park","B","BF-A",-104.90130293,39.75336422,84865.6163841436
"Mixed-use","Ford (Barney L) Park","C","MU-TURF",-104.81700679,39.79194029,48550.0666991572
"Mixed-use","Garfield Lake Park","C",,-105.03575139,39.69395989,28772.184474834
"Baseball","Garfield Lake Park","B","BF-B",-105.03583309,39.69424499,70571.0144891081
"Mixed-use","Garfield Lake Park","C",,-105.03573983,39.69352475,28772.1804698297
"Softball","Garfield Lake Park","C","BF-C",-105.03529834,39.6937539,70571.0347765242
"Mixed-use","Garland Park","C","MU-TURF",-104.91842588,39.69686016,35965.2248041765
"Mixed-use","City Park","C","MU-TURF",-104.94393315,39.74993279,57182.6840759655
"Mixed-use","City Park","C","MU-TURF",-104.94160581,39.75015167,57182.7529946792
"Mixed-use","City Park","B","MU-TURF",-104.95616506,39.74593035,59340.6778672533
"Mixed-use","Bible (James A) Park","B","MU-TURF",-104.90734944,39.66405695,28772.6737349451
"Softball","51st & Zuni Park","C","BF-C",-105.01465437,39.78900547,31381.8991261323
"Mixed-use","46th & Pecos Park","C",,-105.00727015,39.78086878,35963.1157541566
"Mixed-use","46th & Pecos Park","C",,-105.00687867,39.78105246,22025.8100171201
"Mixed-use","51st & Zuni Park","C",,-105.01426383,39.78912854,35963.0317979987
"Mixed-use","Bible (James A) Park","B","MU-TURF",-104.90758275,39.6644402,44957.3099294623
"Mixed-use","Bible (James A) Park","B",,-104.90781048,39.66485839,44957.2000920604
"Mixed-use","Argo Park","C","MU-TURF",-104.98181789,39.78311684,25010.6436657365
"Mixed-use","Argo Park","C","MU-TURF",-104.98378235,39.78417167,35963.2216503558
"Mixed-use","Bible (James A) Park","B",,-104.9068594,39.6651245,28772.5889204255
"Mixed-use","Ash Grove Park","C","MU-TURF",-104.92365492,39.68535974,62939.4603688588
"Baseball","City Park","C","BF-C",-104.9444611,39.75020446,70513.6306106971
